#timestamp,left,right,acc_x,acc_y,acc_z,roll,pitch,yaw,event
1568115621195,-190,174,-2254,1619,-16417,24,-29,-13,0
1568115621210,-190,174,-2233,1594,-16315,20,-20,-17,0
1568115621218,-191,172,-2218,1600,-16352,15,-17,-22,0
1568115621227,-196,168,-2180,1589,-16283,-6,-21,-4,0
1568115621240,-203,165,-2279,1581,-16313,-19,0,22,0
1568115621248,-203,167,-2221,1599,-16369,-30,2,20,0
1568115621256,-202,162,-2234,1586,-16367,-28,-9,42,0
1568115621270,-202,160,-2275,1580,-16355,-25,-1,37,0
1568115621278,-200,161,-2263,1559,-16415,-14,-15,63,0
1568115621285,-202,160,-2238,1604,-16417,16,-34,50,0
1568115621301,-207,152,-2241,1647,-16413,9,-30,32,0
1568115621307,-205,152,-2254,1604,-16394,5,-9,16,0
1568115621318,-196,160,-2294,1505,-16306,27,-22,19,0
1568115621337,-193,160,-2329,1478,-16307,73,-33,39,0
1568115621345,-199,153,-2277,1495,-16301,68,-48,60,0
1568115621347,-202,150,-2225,1630,-16323,28,-20,37,0
1568115621360,-201,150,-2280,1596,-16297,-2,18,52,0
1568115621367,-199,151,-2178,1696,-16332,-48,39,40,0
1568115621375,-201,153,-2282,1605,-16355,-58,57,4,0
1568115621390,-205,154,-2281,1589,-16397,-54,68,-28,0
1568115621398,-203,155,-2197,1636,-16467,-51,67,-40,0
1568115621407,-201,156,-2246,1620,-16482,-34,54,-56,0
1568115621420,-199,160,-2268,1594,-16429,-46,14,-39,0
1568115621429,-197,161,-2267,1617,-16338,-33,-14,-65,0
1568115621435,-199,153,-2251,1625,-16309,-42,-15,-45,0
1568115621450,-205,145,-2259,1612,-16283,-38,-22,-58,0
1568115621458,-205,146,-2332,1582,-16254,-58,-9,-44,0
1568115621465,-207,145,-2246,1547,-16270,-62,17,-15,0
1568115621482,-208,144,-2310,1484,-16243,-34,40,26,0
1568115621487,-208,144,-2235,1534,-16278,15,39,35,0
1568115621495,-208,143,-2240,1603,-16271,42,48,83,0
1568115621511,-208,139,-2277,1595,-16299,25,61,100,0
1568115621517,-210,138,-2245,1571,-16356,48,63,85,0
1568115621526,-216,138,-2251,1669,-16361,41,85,72,0
1568115621540,-220,138,-2268,1640,-16374,20,90,44,0
1568115621548,-218,146,-2188,1667,-16420,0,85,9,0
1568115621555,-220,145,-2178,1607,-16486,-11,93,-30,0
1568115621570,-217,149,-2253,1640,-16375,-31,94,-53,0
1568115621579,-221,151,-2276,1585,-16387,-39,77,-73,0
1568115621585,-230,143,-2190,1550,-16422,-44,56,-52,0
1568115621601,-255,117,-2185,1559,-16313,-54,31,-48,0
1568115621608,-288,83,-2165,1537,-16336,-32,9,-54,0
1568115621615,-296,52,-2233,1478,-16333,-23,7,-34,0
1568115621632,-292,20,-2223,1554,-16315,-34,0,-15,0
1568115621637,-302,-21,-2292,1572,-16275,-23,27,-1,0
1568115621646,-326,-48,-2165,1559,-16284,-7,42,5,0
1568115621660,-334,-44,-2181,1611,-16302,-36,69,15,0
1568115621669,-328,-21,-2252,1658,-16316,-59,84,17,0
1568115621677,-319,3,-2226,1636,-16409,-56,95,-25,0
1568115621690,-302,33,-2289,1632,-16443,-74,67,16,0
1568115621698,-272,67,-2197,1619,-16372,-60,32,7,0
1568115621706,-233,100,-2192,1687,-16399,-49,11,22,0
1568115621720,-195,125,-2192,1716,-16377,-15,-19,-8,0
1568115621728,-175,133,-2136,1647,-16455,-7,-15,1,0
1568115621735,-169,127,-2268,1684,-16348,-9,-38,-20,0
1568115621750,-168,118,-2206,1693,-16370,-17,-19,-19,0
1568115621757,-166,119,-2219,1633,-16318,-16,-9,-18,0
1568115621765,-164,130,-2274,1617,-16296,-18,1,4,0
1568115621781,-160,148,-2222,1644,-16328,-5,7,-8,0
1568115621787,-154,164,-2220,1665,-16347,-3,35,12,0
1568115621796,-151,175,-2185,1661,-16374,14,56,31,0
1568115621810,-151,182,-2144,1643,-16362,15,66,21,0
1568115621818,-156,185,-2200,1646,-16390,29,72,21,0
1568115621825,-164,182,-2258,1677,-16326,50,49,19,0
1568115621839,-168,181,-2149,1656,-16400,58,46,5,0
1568115621847,-170,184,-2213,1665,-16380,49,19,-9,0
1568115621855,-176,182,-2146,1618,-16379,55,32,-12,0
1568115621869,-186,172,-2220,1576,-16389,52,11,-19,0
1568115621878,-192,162,-2238,1551,-16371,64,9,-21,0
1568115621884,-192,166,-2127,1530,-16378,49,-4,5,0
1568115621900,-186,174,-2180,1522,-16355,65,-23,36,0
1568115621912,-182,183,-2183,1535,-16354,46,-33,42,0
1568115621915,-184,179,-2180,1551,-16345,38,-32,69,0
1568115621931,-194,167,-2236,1535,-16321,33,-36,87,0
1568115621938,-202,157,-2229,1591,-16336,26,-37,90,0
1568115621945,-201,159,-2194,1592,-16315,6,-47,89,0
1568115621960,-200,162,-2237,1545,-16347,0,-69,89,0
1568115621967,-201,156,-2216,1625,-16362,-8,-41,93,0
1568115621976,-203,152,-2237,1607,-16392,-36,-46,82,0
1568115621989,-199,156,-2248,1642,-16384,-43,-38,53,0
1568115621997,-196,159,-2208,1586,-16351,-42,-36,39,0
1568115622005,-198,161,-2235,1611,-16365,-45,-61,28,0
1568115622020,-201,161,-2229,1609,-16330,-46,-43,32,0
1568115622028,-200,159,-2247,1620,-16395,-21,-45,34,0
1568115622035,-199,154,-2242,1655,-16355,-12,-58,45,0
1568115622050,-199,154,-2205,1686,-16329,4,-36,61,0
1568115622057,-197,154,-2255,1618,-16342,0,-35,36,0
1568115622065,-196,157,-2254,1649,-16323,1,-33,20,0
1568115622080,-204,150,-2228,1645,-16367,4,-18,3,0
1568115622088,-211,143,-2274,1644,-16328,2,-1,-11,0
1568115622096,-211,140,-2218,1647,-16294,-3,11,-8,0
1568115622110,-210,142,-2256,1629,-16340,11,-4,3,0
1568115622117,-204,146,-2329,1619,-16367,23,1,9,0
1568115622125,-198,154,-2171,1583,-16362,37,-2,8,0
1568115622140,-204,153,-2306,1590,-16369,22,-26,26,0
1568115622147,-211,148,-2237,1655,-16388,20,-9,27,0
1568115622155,-211,149,-2289,1593,-16323,40,-5,33,0
1568115622170,-209,150,-2251,1629,-16348,41,-17,37,0
1568115622177,-209,150,-2269,1584,-16452,36,-28,25,0
1568115622185,-211,148,-2222,1647,-16395,15,-56,29,0
1568115622200,-217,141,-2273,1572,-16234,18,-22,33,0
1568115622207,-217,140,-2261,1608,-16252,19,6,4,0
1568115622215,-217,140,-2288,1533,-16213,58,14,9,0
1568115622230,-218,135,-2198,1553,-16307,98,-8,43,0
1568115622237,-221,133,-2270,1549,-16307,87,11,64,0
1568115622246,-230,129,-2243,1612,-16331,69,20,49,0
1568115622262,-245,116,-2240,1607,-16410,9,43,49,0
1568115622267,-265,98,-2237,1672,-16400,-50,33,9,0
1568115622275,-286,73,-2194,1601,-16460,-93,54,-29,0
1568115622290,-286,42,-2268,1641,-16452,-127,35,-37,0
1568115622298,-285,7,-2263,1624,-16435,-117,-15,-44,0
1568115622305,-290,-30,-2274,1632,-16422,-102,-36,-48,0
1568115622320,-305,-53,-2283,1671,-16365,-70,-74,-45,0
1568115622328,-318,-51,-2283,1702,-16255,-42,-88,-35,0
1568115622335,-319,-28,-2206,1663,-16245,-6,-54,-41,0
1568115622350,-312,2,-2274,1681,-16208,35,-32,-41,0
1568115622357,-296,34,-2274,1638,-16225,19,16,-25,0
1568115622366,-273,65,-2249,1602,-16237,41,45,-7,0
1568115622380,-237,93,-2293,1552,-16322,40,42,33,0
1568115622388,-199,118,-2246,1536,-16286,82,70,57,0
1568115622396,-173,132,-2233,1566,-16357,101,64,99,0
1568115622412,-159,138,-2192,1634,-16404,88,74,110,0
1568115622418,-151,134,-2182,1654,-16415,96,88,83,0
1568115622426,-146,134,-2149,1644,-16426,111,81,50,0
1568115622441,-148,139,-2190,1600,-16421,75,93,35,0
1568115622447,-151,150,-2218,1615,-16493,78,80,-10,0
1568115622455,-150,167,-2139,1609,-16464,44,68,-43,0
1568115622470,-148,178,-2245,1620,-16457,41,45,-64,0
1568115622478,-151,183,-2183,1549,-16385,17,-1,-86,0
1568115622486,-155,187,-2171,1534,-16242,20,-3,-91,0
1568115622500,-161,186,-2207,1436,-16313,52,-23,-80,0
1568115622508,-167,185,-2251,1485,-16298,61,-23,-32,0
1568115622515,-173,185,-2196,1480,-16238,62,-13,15,0
1568115622530,-177,182,-2182,1497,-16228,66,5,29,0
1568115622537,-181,180,-2113,1601,-16223,24,34,44,0
1568115622546,-186,176,-2241,1614,-16240,-13,77,56,0
1568115622561,-196,168,-2260,1516,-16348,-34,91,42,0
1568115622568,-194,170,-2265,1544,-16430,-56,88,18,0
1568115622576,-188,177,-2202,1561,-16472,-82,53,32,0
1568115622591,-185,183,-2180,1551,-16470,-82,20,16,0
1568115622597,-189,177,-2163,1640,-16476,-49,-46,22,0
1568115622605,-194,171,-2232,1643,-16435,-16,-68,27,0
1568115622627,-196,167,-2204,1603,-16418,-7,-83,3,0
1568115622629,-198,165,-2158,1637,-16337,-4,-74,-4,0
1568115622636,-204,159,-2278,1656,-16338,-18,-65,-19,0
1568115622650,-210,157,-2236,1614,-16316,-25,-53,-16,0
1568115622658,-207,162,-2219,1576,-16248,-61,-23,4,0
1568115622666,-202,167,-2278,1627,-16315,-53,17,7,0
1568115622680,-201,164,-2329,1604,-16312,-16,37,11,0
1568115622687,-203,160,-2250,1619,-16324,-11,40,17,0
1568115622694,-205,158,-2288,1618,-16340,-2,51,16,0
1568115622710,-210,157,-2200,1636,-16339,40,52,18,0
1568115622717,-218,152,-2236,1617,-16370,50,50,10,0
1568115622729,-222,148,-2253,1600,-16397,70,39,-11,0
1568115622741,-224,145,-2214,1594,-16366,64,18,-26,0
1568115622747,-219,148,-2252,1543,-16320,42,12,-36,0
1568115622758,-213,151,-2242,1565,-16381,53,8,-35,0
1568115622770,-211,152,-2197,1541,-16388,37,9,-31,0
1568115622778,-211,149,-2248,1564,-16390,49,-8,-30,0
1568115622785,-212,146,-2170,1559,-16400,50,-12,-13,0
1568115622800,-214,140,-2299,1585,-16306,50,-13,-21,0
1568115622808,-214,139,-2208,1552,-16362,64,-20,-20,0
1568115622815,-214,141,-2277,1515,-16326,45,-7,-19,0
1568115622831,-209,146,-2281,1528,-16337,34,-27,-8,0
1568115622837,-206,146,-2244,1559,-16363,27,-35,-7,0
1568115622847,-206,145,-2278,1551,-16383,23,-46,19,0
1568115622861,-209,145,-2286,1541,-16343,-16,-48,9,0
1568115622867,-215,143,-2264,1531,-16379,-18,-65,3,0
1568115622883,-219,138,-2268,1619,-16341,-18,-57,-19,0
1568115622890,-219,136,-2293,1596,-16345,-5,-60,-27,0
1568115622898,-218,140,-2237,1641,-16367,-26,-50,-42,0
1568115622910,-228,135,-2309,1524,-16347,-31,-50,-13,0
1568115622920,-244,124,-2222,1530,-16319,-69,-42,22,0
1568115622927,-270,102,-2316,1562,-16339,-56,-28,34,0
1568115622935,-282,73,-2315,1535,-16302,-72,-8,57,0
1568115622950,-295,29,-2278,1602,-16306,-64,14,56,0
1568115622963,-309,-10,-2318,1557,-16344,-59,38,55,0
1568115622965,-320,-40,-2253,1651,-16320,-62,48,64,0
1568115622981,-331,-61,-2311,1653,-16340,-46,49,52,0
1568115622994,-344,-73,-2218,1624,-16403,-18,51,14,0
1568115622996,-349,-64,-2209,1608,-16415,-20,26,8,0
1568115623010,-335,-27,-2290,1611,-16346,-11,7,2,0
1568115623017,-302,19,-2276,1636,-16435,5,5,-19,0
1568115623030,-263,54,-2314,1618,-16403,0,-37,-31,0
1568115623044,-232,75,-2324,1601,-16293,-10,-27,-1,0
1568115623047,-209,93,-2350,1555,-16245,6,-10,-6,0
1568115623055,-188,112,-2241,1523,-16263,72,23,7,0
1568115623070,-168,126,-2307,1504,-16263,107,34,52,0
1568115623078,-156,129,-2266,1540,-16333,110,42,68,0
1568115623085,-150,135,-2205,1630,-16368,92,74,78,0
1568115623099,-153,146,-2298,1604,-16367,69,89,66,0
1568115623107,-153,164,-2193,1656,-16439,20,96,34,0
1568115623119,-146,185,-2299,1638,-16483,-13,87,7,0
1568115623130,-143,199,-2260,1672,-16465,-46,94,-52,0
1568115623146,-147,199,-2261,1580,-16460,-61,57,-50,0
1568115623148,-159,192,-2270,1626,-16439,-41,21,-71,0
1568115623160,-166,189,-2226,1634,-16354,-25,-15,-70,0
1568115623168,-167,190,-2265,1647,-16342,-3,-24,-93,0
1568115623176,-170,191,-2274,1586,-16266,33,-4,-73,0
1568115623190,-170,193,-2254,1614,-16210,36,12,-79,0
1568115623197,-174,190,-2265,1531,-16245,35,79,-60,0
1568115623211,-176,184,-2296,1512,-16250,48,79,-28,0
1568115623223,-179,180,-2177,1472,-16275,66,79,20,0
1568115623227,-178,184,-2322,1460,-16334,68,97,68,0
1568115623235,-184,179,-2298,1493,-16382,75,86,84,0
1568115623250,-191,174,-2245,1530,-16387,37,85,99,0
1568115623260,-199,163,-2170,1547,-16395,51,77,90,0
1568115623265,-198,163,-2133,1584,-16389,35,68,61,0
1568115623280,-195,169,-2232,1609,-16430,45,75,28,0
1568115623287,-200,164,-2191,1605,-16425,16,77,-12,0
1568115623297,-210,154,-2188,1588,-16428,7,65,-27,0
1568115623312,-214,150,-2256,1525,-16417,-30,50,-67,0
1568115623317,-213,153,-2144,1508,-16448,-53,33,-75,0
1568115623330,-210,153,-2126,1507,-16357,-75,27,-83,0
1568115623344,-208,151,-2201,1499,-16361,-77,3,-75,0
1568115623348,-200,160,-2217,1467,-16383,-63,-1,-46,0
1568115623356,-192,169,-2236,1508,-16273,-60,-26,-32,0
1568115623370,-191,170,-2240,1542,-16271,-33,-24,-4,0
1568115623380,-200,161,-2272,1569,-16223,-49,-18,8,0
